频道,#genre#
湖北卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221226206/index.m3u8
湖北卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221226194/index.m3u8
湖南金鹰纪实,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221226351/index.m3u8
湖南卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221225799/index.m3u8
湖南卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221226211/index.m3u8
吉林卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221225792/index.m3u8
纪实人文,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221226243/index.m3u8
家庭理财,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221226244/index.m3u8
江苏卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221225800/index.m3u8
江苏卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221226200/index.m3u8
江西卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221225764/index.m3u8
康巴卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221226234/index.m3u8
快乐垂钓,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221226805/index.m3u8
辽宁卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221226201/index.m3u8
辽宁卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221226210/index.m3u8
南方卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221226218/index.m3u8
内蒙古卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221225786/index.m3u8
宁夏卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221225748/index.m3u8
青海卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221225794/index.m3u8
厦门卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221226219/index.m3u8
山东卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221226209/index.m3u8
山西卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221225763/index.m3u8
陕西卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221225821/index.m3u8
上海纪实人文,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221226230/index.m3u8
深圳卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221225801/index.m3u8
深圳卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221226205/index.m3u8
四川卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221225768/index.m3u8
天津卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221226204/index.m3u8
西藏卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221226212/index.m3u8
